location,comment,rating,feedback_date
Mall,Loved the croissant,4,2024-03-09
University District,Great service!,4,2024-02-19
Downtown,Line was too long,5,2024-04-23
University District,Not impressed,5,2024-04-24
Financial District,Wifi was slow,5,2024-01-13
Downtown,Wifi was slow,3,2024-03-05
Downtown,Too noisy,4,2024-03-12
Financial District,Needs more vegan options,5,2024-01-01
University District,Needs more vegan options,2,2024-01-20
University District,Bad experience,3,2024-04-12
Suburbs,Needs more vegan options,5,2024-04-24
Suburbs,Needs more vegan options,4,2024-01-25
Mall,Tasty food,4,2024-01-29
Mall,Bad experience,4,2024-03-07
University District,Coffee was cold,4,2024-04-26
Financial District,Loved the croissant,5,2024-04-02
University District,Will come again,3,2024-01-18
Downtown,Friendly barista,3,2024-04-26
Suburbs,Loved the croissant,4,2024-03-22
Suburbs,Coffee was cold,3,2024-03-28
University District,Excellent staff,5,2024-02-26
Downtown,Friendly barista,4,2024-02-22
University District,Line was too long,4,2024-03-10
University District,Bad experience,4,2024-04-01
University District,Too noisy,1,2024-03-02
Downtown,Coffee was cold,4,2024-02-21
Suburbs,Not impressed,3,2024-03-18
Financial District,Excellent staff,4,2024-01-26
Mall,Line was too long,5,2024-03-11
Downtown,Great service!,3,2024-01-11
Suburbs,Tasty food,1,2024-01-21
University District,Excellent staff,1,2024-03-09
Financial District,Too noisy,5,2024-01-31
Mall,Line was too long,4,2024-02-14
Mall,Needs more vegan options,4,2024-04-18
Downtown,Wifi was slow,4,2024-03-04
University District,Bad experience,3,2024-01-27
University District,Coffee was cold,1,2024-04-06
Financial District,Very clean,3,2024-02-03
Mall,Tasty food,5,2024-02-19
Downtown,Bad experience,4,2024-04-09
University District,Great service!,5,2024-04-19
Mall,Very clean,3,2024-03-09
Mall,Coffee was cold,4,2024-01-26
Suburbs,Tasty food,1,2024-02-17
Financial District,Not impressed,1,2024-02-21
University District,Best coffee ever,4,2024-04-08
Suburbs,Coffee was cold,4,2024-03-24
Financial District,Will come again,5,2024-03-18
Suburbs,Tasty food,1,2024-01-05
University District,Great service!,5,2024-01-12
Downtown,Very clean,4,2024-01-13
Suburbs,Wifi was slow,5,2024-04-21
Suburbs,Too noisy,4,2024-03-31
Mall,Not impressed,3,2024-03-31
University District,Friendly barista,3,2024-01-16
Suburbs,Friendly barista,4,2024-02-20
Downtown,Excellent staff,2,2024-02-23
Suburbs,Bad experience,5,2024-03-08
Financial District,Coffee was cold,5,2024-01-13
Downtown,Too noisy,5,2024-01-18
Downtown,Loved the croissant,5,2024-04-18
Suburbs,Best coffee ever,4,2024-03-16
Suburbs,Not impressed,4,2024-01-19
Mall,Will come again,4,2024-03-21
University District,Coffee was cold,3,2024-02-11
Mall,Too noisy,2,2024-03-11
Financial District,Loved the croissant,3,2024-01-21
University District,Great service!,3,2024-04-19
Mall,Great service!,5,2024-04-12
Mall,Tasty food,5,2024-02-22
Suburbs,Loved the croissant,5,2024-01-01
Mall,Line was too long,5,2024-01-14
Suburbs,Very clean,1,2024-01-03
Downtown,Too noisy,1,2024-04-05
University District,Best coffee ever,4,2024-01-09
Suburbs,Wifi was slow,1,2024-01-11
Mall,Needs more vegan options,5,2024-01-23
Suburbs,Very clean,4,2024-01-30
Downtown,Friendly barista,5,2024-02-16
Financial District,Tasty food,3,2024-04-28
Financial District,Wifi was slow,4,2024-01-05
Downtown,Great service!,4,2024-01-30
Mall,Best coffee ever,3,2024-04-24
University District,Friendly barista,4,2024-03-30
University District,Coffee was cold,4,2024-03-08
Suburbs,Needs more vegan options,4,2024-04-25
Financial District,Loved the croissant,4,2024-03-31
Downtown,Best coffee ever,4,2024-01-29
Mall,Needs more vegan options,4,2024-02-14
Downtown,Great service!,2,2024-04-11
Financial District,Wifi was slow,5,2024-04-27
Downtown,Friendly barista,2,2024-01-07
Downtown,Needs more vegan options,3,2024-01-16
Downtown,Wifi was slow,1,2024-03-12
Suburbs,Excellent staff,5,2024-03-29
Mall,Line was too long,2,2024-03-28
University District,Friendly barista,3,2024-02-10
Mall,Tasty food,4,2024-04-14
Financial District,Needs more vegan options,5,2024-03-01
University District,Coffee was cold,5,2024-02-20
Suburbs,Wifi was slow,2,2024-02-24
University District,Will come again,4,2024-03-04
University District,Tasty food,3,2024-02-20
University District,Best coffee ever,5,2024-01-21
Downtown,Too noisy,5,2024-04-16
Financial District,Very clean,3,2024-02-27
Suburbs,Best coffee ever,4,2024-03-20
Financial District,Too noisy,4,2024-04-14
Downtown,Needs more vegan options,5,2024-02-16
Suburbs,Tasty food,5,2024-01-11
Downtown,Too noisy,5,2024-03-01
Suburbs,Friendly barista,4,2024-03-12
Suburbs,Friendly barista,4,2024-04-08
Mall,Loved the croissant,3,2024-04-19
Downtown,Friendly barista,5,2024-01-06
Financial District,Friendly barista,5,2024-04-10
Downtown,Wifi was slow,4,2024-03-15
Downtown,Best coffee ever,4,2024-01-28
Downtown,Not impressed,5,2024-02-11
Mall,Coffee was cold,5,2024-02-21
Mall,Excellent staff,2,2024-01-11
Mall,Needs more vegan options,4,2024-03-10
Mall,Excellent staff,4,2024-02-09
Downtown,Too noisy,3,2024-01-30
Financial District,Great service!,2,2024-02-25
University District,Too noisy,3,2024-03-18
Downtown,Great service!,3,2024-03-17
Financial District,Bad experience,3,2024-04-08
University District,Not impressed,5,2024-01-06
University District,Bad experience,5,2024-02-18
Mall,Great service!,3,2024-02-02
University District,Too noisy,3,2024-01-11
Financial District,Tasty food,4,2024-03-05
Mall,Not impressed,4,2024-01-27
Downtown,Wifi was slow,2,2024-01-30
Downtown,Best coffee ever,5,2024-02-15
Mall,Wifi was slow,2,2024-01-26
Mall,Excellent staff,2,2024-01-28
University District,Bad experience,4,2024-04-14
University District,Best coffee ever,3,2024-02-01
Financial District,Best coffee ever,3,2024-03-14
Mall,Best coffee ever,5,2024-01-12
Downtown,Loved the croissant,4,2024-04-26
Financial District,Best coffee ever,5,2024-04-28
Downtown,Line was too long,2,2024-04-09
Downtown,Coffee was cold,5,2024-04-23
Financial District,Coffee was cold,5,2024-04-16
Downtown,Best coffee ever,4,2024-03-26
Mall,Best coffee ever,5,2024-01-16
Mall,Wifi was slow,4,2024-03-22
Financial District,Friendly barista,5,2024-03-11
Downtown,Wifi was slow,3,2024-02-21
Downtown,Excellent staff,5,2024-04-09
