location,name,category,price,cost,utility,quantity,total,total_utility,Year,Month,Day_name,Day,Hour,sale_timestamp
University District,Iced Mocha,Coffee,5.19,2.71,2.48,2,10.38,4.96,2024,January,Tuesday,2,21,2024-01-02 21:52:00
Financial District,Sandwich,Food,2.83,1.48,1.35,1,2.83,1.35,2024,January,Thursday,18,21,2024-01-18 21:25:00
Suburbs,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,March,Monday,18,5,2024-03-18 05:13:00
University District,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,January,Monday,1,13,2024-01-01 13:57:00
Suburbs,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,March,Wednesday,6,6,2024-03-06 06:50:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,2,12.72,6.08,2024,March,Friday,29,20,2024-03-29 20:57:00
Financial District,Tea,Drink,3.31,1.73,1.58,3,9.93,4.74,2024,February,Friday,9,13,2024-02-09 13:57:00
Mall,Cappuccino,Coffee,5.29,2.76,2.53,3,15.87,7.59,2024,April,Thursday,25,16,2024-04-25 16:13:00
University District,Mocha,Coffee,2.7,1.41,1.29,1,2.7,1.29,2024,March,Sunday,3,5,2024-03-03 05:28:00
Downtown,Smoothie,Food,3.94,2.06,1.88,1,3.94,1.88,2024,March,Tuesday,12,21,2024-03-12 21:10:00
Suburbs,Macchiato,Coffee,2.26,1.18,1.08,3,6.78,3.24,2024,March,Monday,25,15,2024-03-25 15:47:00
Suburbs,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,February,Monday,12,1,2024-02-12 01:54:00
Downtown,Macchiato,Coffee,2.26,1.18,1.08,6,13.56,6.48,2024,February,Thursday,29,5,2024-02-29 05:09:00
University District,Wrap,Food,4.36,2.28,2.08,3,13.08,6.24,2024,March,Monday,11,13,2024-03-11 13:34:00
Mall,Americano,Coffee,4.69,2.45,2.24,2,9.38,4.48,2024,January,Saturday,27,0,2024-01-27 00:08:00
University District,Brownie,Bakery,2.96,1.55,1.41,3,8.88,4.23,2024,April,Saturday,27,9,2024-04-27 09:11:00
Financial District,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,March,Tuesday,12,12,2024-03-12 12:19:00
University District,Iced Latte,Coffee,4.71,2.46,2.25,2,9.42,4.5,2024,February,Saturday,24,9,2024-02-24 09:40:00
Financial District,Latte,Coffee,6.28,3.28,3.0,1,6.28,3.0,2024,February,Monday,26,18,2024-02-26 18:26:00
Suburbs,Tea,Drink,3.31,1.73,1.58,4,13.24,6.32,2024,April,Wednesday,24,15,2024-04-24 15:41:00
Financial District,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,April,Saturday,6,19,2024-04-06 19:04:00
Mall,Macchiato,Coffee,2.26,1.18,1.08,3,6.78,3.24,2024,April,Saturday,27,14,2024-04-27 14:52:00
Downtown,Croissant,Bakery,6.36,3.32,3.04,1,6.36,3.04,2024,February,Thursday,8,4,2024-02-08 04:34:00
Financial District,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,February,Thursday,29,13,2024-02-29 13:25:00
University District,Cheesecake,Bakery,2.82,1.47,1.35,1,2.82,1.35,2024,January,Wednesday,3,0,2024-01-03 00:04:00
Financial District,Cappuccino,Coffee,5.29,2.76,2.53,2,10.58,5.06,2024,March,Saturday,16,18,2024-03-16 18:33:00
Suburbs,Brownie,Bakery,2.96,1.55,1.41,1,2.96,1.41,2024,January,Monday,15,6,2024-01-15 06:02:00
Financial District,Salad,Food,3.37,1.76,1.61,1,3.37,1.61,2024,January,Thursday,4,21,2024-01-04 21:43:00
Mall,Americano,Coffee,4.69,2.45,2.24,1,4.69,2.24,2024,January,Monday,8,23,2024-01-08 23:00:00
Financial District,Wrap,Food,4.36,2.28,2.08,1,4.36,2.08,2024,January,Monday,8,2,2024-01-08 02:34:00
Mall,Cold Brew,Coffee,5.9,3.08,2.82,1,5.9,2.82,2024,February,Friday,2,13,2024-02-02 13:45:00
